osm_id,osm_type,is_in,name,population,admin_level,place,boundary,longitude,latitude,geom_type
11066378,relations,,Municipio Ortíz,"23755","6",,administrative,-67.6035364801144,9.49687102808532,POLYGON
15652452,relations,,Parroquia Los Tanques,,"7",,administrative,-67.5631361741396,10.0227633303281,POLYGON
11023971,relations,,Parroquia Santa Rita,,"7",,administrative,-67.5291501023162,10.2030858669663,POLYGON
11023964,relations,,Parroquia Las Delicias,,"7",,administrative,-67.5633921947342,10.3096324571989,POLYGON
11023970,relations,,Parroquia Palo Negro,,"7",,administrative,-67.5982484390106,10.1818589465189,POLYGON
15727730,relations,,Parroquia Guayabal,,"7",,administrative,-68.4293483108587,10.1353990677203,POLYGON
19160158,relations,,Taborda,,"8",,administrative,-68.1121287900308,10.459570229469,POLYGON
19184713,relations,,Guamacho Sur,,"9",,administrative,-67.7227167742418,10.2907356558643,POLYGON
15652453,relations,,Parroquia Guacamaya,,"7",,administrative,-67.651495566446,10.0501884361918,POLYGON
10833250,relations,,Municipio Naguanagua,"157437","6",,administrative,-68.0610790882325,10.2842171227077,POLYGON
11023975,relations,,Parroquia Augusto Mijares,,"7",,administrative,-67.5776502934689,10.1007161227548,POLYGON
11221610,relations,,Las Agüitas,,,suburb,,-67.9268555082891,10.1692974878027,POLYGON
11221613,relations,,sector 2,,,neighbourhood,,-67.9237903611405,10.1710261748814,POLYGON
19220177,relations,,Urbanización Las Brisas,,"9",,administrative,-67.7042195331264,10.2839749983858,POLYGON
19220280,relations,,Sector 23,,"10",,administrative,-67.7031451874236,10.2899230823993,POLYGON
4141767,relations,,Parroquia La Candelaria,,"7",,administrative,-68.0144034219517,10.1742866159289,POLYGON
17900233,relations,,La Elvira,,"9",,administrative,-68.0512795181561,10.4524260333358,POLYGON
18966747,relations,,Colinas de Guataparo,,"10",,administrative,-68.0501116458284,10.1890136055538,POLYGON
16431190,relations,,Guanabanillo,,"9",,administrative,-68.2066974602273,10.4812845287446,POLYGON
16501679,relations,,Valle Seco,,"9",,administrative,-67.9999080634446,10.4415116629954,POLYGON
17899873,relations,,El Remanso,,"9",,administrative,-67.9612524602435,10.262550105857,POLYGON
16441190,relations,,El Inca,,"9",,administrative,-68.1987467417865,10.4864664245775,POLYGON
16543267,relations,,Urbanización Cumboto II,,"9",,administrative,-68.0359780639963,10.4654296518074,POLYGON
16408933,relations,,Santa Ana de Morón,,"9",,administrative,-68.1981768095008,10.483119206413,POLYGON
16543237,relations,,Las Amazonas,,"9",,administrative,-68.2073720598984,10.472919558888,POLYGON
16431191,relations,,Casco Central de Morón,,"9",,administrative,-68.1999342536236,10.4882664099506,POLYGON
16431177,relations,,El Dique,,"9",,administrative,-68.2013290868199,10.4731148244638,POLYGON
16501680,relations,,Barrio Ezequiel Zamora,,"9",,administrative,-68.0102387963588,10.4530619821716,POLYGON
16478345,relations,,Funda Morón,,"9",,administrative,-68.2009869827087,10.4821205292468,POLYGON
16412865,relations,,Boca del Yaracuy,,"8",,administrative,-68.2436824199588,10.5800402664958,POLYGON
11023968,relations,,Parroquia Joaquín Crespo,,"7",,administrative,-67.5726496103905,10.2318697263509,POLYGON
15651635,relations,,Parroquia Cumboto,,"7",,administrative,-67.8262854123323,10.3993893700864,POLYGON
19223031,relations,,Centro Histórico de Puerto Cabello,,"9",,administrative,-68.0081504793277,10.4794525089366,POLYGON
11023953,relations,,Municipio Zamora,"144754","6",,administrative,-67.4829408771883,10.0519279276086,POLYGON
11023954,relations,,Municipio Lamas,"32981","6",,administrative,-67.5103812339947,10.1606500109497,POLYGON
18775332,relations,,Barrio Renny Ottolina,,"9",,administrative,-68.0024203444033,10.1402962946788,POLYGON
10833245,relations,,Municipio San Diego,"93257","6",,administrative,-67.9519546231197,10.2645099396692,POLYGON
19737169,relations,,Paralelo 38,,"9",,administrative,-68.0211724995571,10.4722304243414,POLYGON
10832869,relations,,Parroquia Juan José Flores,,"7",,administrative,-68.0828975071953,10.479532091548,MULTIPOLYGON
10832852,relations,,Parroquia Unión,,"7",,administrative,-68.0125832785715,10.4778809585035,POLYGON
16412868,relations,,Gañango,,"8",,administrative,-67.9575920642874,10.4652506999018,POLYGON
10833242,relations,,Parroquia Tocuyito,,"7",,administrative,-68.1238774759383,10.1159126059964,POLYGON
10832870,relations,,Parroquia Goaigoaza,,"7",,administrative,-68.0484765380612,10.3965285981902,POLYGON
272663,relations,,Guárico,"747739","4",state,administrative,-66.5331243451679,8.82880819426269,POLYGON
272644,relations,,Venezuela,"26458853","2",,administrative,-66.1925989099591,7.4836331505609,MULTIPOLYGON
11210009,relations,,Municipio Iragorry,"99852","6",,administrative,-67.6395209712512,10.32233305539,POLYGON
19803375,relations,,Brisas del Lago,,"10",,administrative,-67.6174463019018,10.2287230539793,POLYGON
16537205,relations,,Las Llaves (Urb. Alfredo Travieso Paul),,"9",,administrative,-68.0294260958319,10.4653949567512,POLYGON
16431175,relations,,Banco Obrero Viejo,,"9",,administrative,-68.2025905754846,10.4763798201555,POLYGON
